"node","degree_centrality","betweenness_centrality","closeness_centrality","clustering_coefficient"
"8340",1,0,0.305,0
"7482",1,0,0.305,0
"1024",1,0,0.305,0
"10755",1,0,0.305,0
"290",1,0,0.305,0
"10847",2,0.003,0.34,0
"10549",1,0,0.305,0
"851",1,0,0.305,0
"8909",2,0.002,0.328,0
"7158",1,0,0.305,0
"8910",1,0,0.305,0
"2591",1,0,0.305,0
"5051",1,0,0.305,0
"854",4,0.011,0.347,0
"9663",1,0,0.305,0
"4023",1,0,0.305,0
"1528",1,0,0.305,0
"8166",1,0,0.305,0
"2238",1,0,0.305,0
"4352",3,0.006,0.343,0
"6639",1,0,0.305,0
"8169",1,0,0.305,0
"8460",2,0.002,0.328,0
"10442",2,0.002,0.314,0
"1218",1,0,0.305,0
"7050",2,0.002,0.328,0
"7237",3,0.006,0.35,0
"2941",1,0,0.305,0
"1589",2,0.003,0.318,0
"7990",1,0,0.305,0
"9653",1,0,0.305,0
"8926",1,0,0.305,0
"4572",1,0,0.305,0
"2075",1,0,0.305,0
"10574",1,0,0.305,0
"8342",1,0,0.305,0
"10576",1,0,0.305,0
"5807",1,0,0.305,0
"2802",1,0,0.305,0
"7685",1,0,0.305,0
"7258",1,0,0.305,0
"2620",1,0,0.305,0
"10648",1,0,0.305,0
"7955",1,0,0.305,0
"11178",1,0,0.305,0
"5809",1,0,0.305,0
"501",2,0.002,0.328,0
"3343",2,0.003,0.34,0
"503",1,0,0.305,0
"4933",1,0,0.305,0
"9131",1,0,0.305,0
"6360",4,0.01,0.365,0
"11160",1,0,0.305,0
"10794",1,0,0.305,0
"3173",1,0,0.305,0
"9954",1,0,0.305,0
"510",1,0,0.305,0
"10716",1,0,0.305,0
"11546",1,0,0.305,0
"8111",1,0,0.305,0
"11362",1,0,0.305,0
"1935",1,0,0.305,0
"6657",1,0,0.305,0
"1717",1,0,0.305,0
"8573",1,0,0.305,0
"3354",1,0,0.305,0
"6546",1,0,0.305,0
"2821",1,0,0.305,0
"1250",1,0,0.305,0
"6180",1,0,0.305,0
"8009",1,0,0.305,0
"1408",1,0,0.305,0
"9690",2,0.003,0.318,0
"6015",1,0,0.305,0
"10064",1,0,0.305,0
"4600",1,0,0.305,0
"2826",1,0,0.305,0
"2646",1,0,0.305,0
"11549",1,0,0.305,0
"7666",2,0.003,0.318,0
"9498",1,0,0.305,0
"523",1,0,0.545,0
"10356",1,0,0.545,0
"10862",1,0,0.545,0
"10231",1,0,0.545,0
"1211",1,0,0.545,0
"11523",1,0,0.545,0
"10725",1,0,0.317,0
"9786",1,0,0.317,0
"5040",1,0,0.317,0
"10338",1,0,0.317,0
"11491",1,0,0.317,0
"8388",1,0,0.317,0
"10989",2,0.001,0.448,0
"4926",1,0,0.317,0
"1173",1,0,0.317,0
"7197",1,0,0.317,0
"11148",1,0,0.317,0
"314",1,0,0.317,0
"7115",1,0,0.317,0
"4004",1,0,0.317,0
"1271",1,0,0.317,0
"7122",1,0,0.317,0
"1276",1,0,0.317,0
"7214",1,0,0.317,0
"2792",1,0,0.317,0
"558",2,0.001,0.448,0
"10595",1,0,0.317,0
"10305",1,0,0.317,0
"1467",1,0,0.317,0
"653",1,0,0.317,0
"4403",1,0,0.317,0
"9352",1,0,0.317,0
"464",1,0,0.317,0
"3657",1,0,0.317,0
"3184",1,0,0.317,0
"3359",1,0,0.317,0
"4733",1,0,0.317,0
"5276",1,0,0.317,0
"10226",1,0,0.317,0
"4107",1,0,0.317,0
"1253",1,0,0.317,0
"872",1,0,0.667,0
"7548",1,0,0.667,0
"8601",1,0,0.228,0
"6056",4,0.002,0.267,0.167
"491",3,0.001,0.262,0
"3408",3,0.001,0.256,0
"11043",2,0,0.242,0
"6460",1,0,0.228,0
"5638",4,0.002,0.269,0
"6400",4,0.002,0.269,0
"6307",1,0,0.228,0
"4917",2,0,0.249,0
"7172",4,0.002,0.264,0
"9383",4,0.002,0.267,0.167
"6623",1,0,0.228,0
"4354",3,0.001,0.262,0
"10490",4,0.002,0.262,0
"3742",1,0,0.228,0
"9443",2,0,0.245,0
"9092",1,0,0.228,0
"7912",4,0.002,0.269,0
"8386",1,0,0.228,0
"1341",2,0,0.245,0
"8392",1,0,0.228,0
"8903",1,0,0.228,0
"2099",4,0.002,0.269,0
"10501",4,0.001,0.258,0.167
"6910",1,0,0.228,0
"10881",2,0,0.242,0
"921",1,0,0.538,0
"7691",1,0,0.538,0
"8280",1,0,0.538,0
"3220",1,0,0.538,0
"7597",1,0,0.538,0
"5935",1,0,0.538,0
